Date,Time,Location,Operator,Route,Type,Aboard,Fatalities,Summary
03/15/2002,02:00,Alma Wisconsin,Priorty Air Charter,Minneapolis - Detroit,Cessna 208B Caravan I Super Cargomaster,1,1,After encountering icing the pilot of the cargo plane decided to divert to the nearest airport but continued to lose altitude until he crashed into trees. The pilot not removing the ice contamination from the airplane prior to departure and the pilot intentionally flying into known severe icing conditions resulting in the aircraft not being able to maintain altitude/clearance from the terrain. Factors to the accident included the icing conditions and the trees encountered during the forced landing.
03/17/2002,08:02,Off Djibouti Republiof Djibouti,Djibouti Airlines,Mogadishu Somalia - Djibouti,Let 410UVP-E,4,4,The cargo plane crashed into the ocean while on approach to Runway 27.
04/01/2002,07:25,Near Cairns QLD Australia,Air Taxi,Cairns - Hicks Island,Shrike Commander 500S,4,4,Crashed into low terrain while en route. Why the pilot continued flight into marginal weather conditions at an altitude that was insufficient to ensure terrain clearance could not be established.
04/12/2002,04:07,Palma de Mallorca Spain,Tadair,Madrid - Palma de Mallorca,Swearingen SA.227AC Metro III,2,2,The cargo plane crashed into lights near the runway threshold while attempting to land on Runway 24L.
04/15/2002,11:23,Busan South Korea,Air China,Beijing - Busan,Boeing B-767-200ER,166,128,The aircraft crashed onto a mountain in fog wind and rain while attempting to land at Kimhae Airport. A strong southerly wind required the aircraft to make a turn and approach the runway from the north. The aircraft crashed near the peak of Mt. Mulbong approximately 3 mile north of the runway. The plane bounced three times before hitting the ground and exploding. More than 1000 trees were uprooted by the impact. The plane was off course when the crew turned on final. Operational errors by the crew. Lack of pilot experience in landing in adverse weather conditions. First Air China fatal accident.
04/18/2002,09:30,Near Sweers Island QLD Australia,Air taxi,Mornington Island - Normanton,Cessna U206A,6,6,Crashed while en route. The pilot's limited experience in instrument flight conditions may have been insufficient to prevent a loss of aircraft control when he inadvertently entered an area of low visibility in the Sweers Island area.
04/19/2002,09:15,Popayán Colombia,SELVA Colombia,Medellín - Popayán,Antonov AN-32A,8,3,The plane was being used by the Penitentiary and Prison National Institute Inpec to fly prisoners from Medellín to Popayán. The aircraft had just finished flying 50 prisoners to Popayán when it took off from Popayán to pick up more prisoners. The aircraft nosed into the ground shortly after becoming airborne.
04/24/2002,13:00,Near Olancho Honduras,Private,,Cessna 206G,6,6,The aircraft crashed in the El Urracal mountains 12 miles from the runway were it took off at El Aguacate Air Force base. The wreckage of the airplane was in a box canyon on the east side of the 45-degree sloping terrain at an elevation of 3500 feet. Those aboard were surveying the Patruca jungle on a conservation project. Among those killed were three mayors from cities in the region. Observers on the ground reported the plane was on fire before it crashed.
04/28/2002,06:15,Near Abakan Russia,Private,,Mi-8 helicopter,20,8,The helicopter struck power lines and crashed in near-zero visibility. Governor of Krasnoyarsk territory Alexander Lebed 52 was among those killed. 'Power line power line!' were the last words of the pilot. Thick fog concealing a frost-covered power line led to the helicopter crash.
05/04/2002,13:30,Kano Nigeria,EAS Airlines (Executive Airline Services),Abuja - Jos - Kano - Lagos,BAC One-Eleven 525FT,77,74,The aircraft crashed into houses two mosques and a school in the densely populated neighborhood of Gwammaja approximately  1.2 miles from Kano International Airport shortly after taking off. There were reports of an engine failure and  fire during the takeoff.
05/07/2002,15:17,Near Tunis Tunisia,EgyptAir,Cairo - Tunis,Boeing B-737-566,62,14,The jet airliner crashed into a hillside 4 miles from the Tunis-Carthage airport as the pilot attempted to make a landing. The plane's landing gear had failed to open during the approach into Tunis-Carthage airport and the pilot had made another circuit before attempting a fresh landing when the plane crashed in heavy rain and high winds. The accident was attributed to the rough weather conditions and the pilot's inability to deal with the situation.
05/07/2002,21:32,Off Dalian China,China Northern Airlines,Beijing - Dalian,McDonnell Douglas MD-82,112,112,The MD-82 crashed into the Dalian Bay 12 miles east of Dalian airport. The pilot reported a fire aboard the aircraft and the cabin lights were out prior to the plane impacting the water.  The accident was caused by an act of sabotage by a passenger who lit a fire in the cabin. He had bought multiple insurance policies before boarding the flight.
05/21/2002,19:30,Near Calabar Nigeria,Sky Executive Air Services,Port Harcourt - Calabar,LET 410UVP,5,5,The plane crashed approximately 12 miles from Calabar while attempting to land. All passengers departed at Port Harcourt and only a crew of 5 was aboard. The premature departure of the plane from the normal minimum safe altitude of 2500 ft. without air trafficontroller's clearance until it flew into the terrain. Other contributing factors were the emergence of electrical problem on the aircraft at the commencement of the approach which might have distracted the  pilot  and unfavorable weather conditions of low ceiling and thunderstorms which impaired visibility at the critical time of descent.
05/25/2002,15:29,Off Penghu Island Taiwan,China Airlines (Taiwan),Taipei - Hong Kong,Boeing B-747-209B,225,225,The flight crashed into the sea 31 miles NE of the Penghu (Pescadore) Islands in the Taiwan Strait. The plane disappeared from radar while flying at 35000 ft. approximately 20 minutes after taking off from Chiang Kai Shek Airport. There was no distress call and the weather was good at the time. Military radar revealed the aircraft  disintegrated in midair breaking into four pieces. Only 175 of 225 bodies were recovered. The carrier  failed to conduct a preventive anti-rust operation in a timely manner every four years. Damage from a 1980 tailstrike was not properly repaired and fatigue cracks formed which eventually led to a structural failure.
05/25/2002,,Near Nabire Indonesia,Trigana Air Service,Nabire - Enaotali,de Havilland Canada DHC-6 Twin Otter 300,6,6,The aircraft crashed in thunderstorms and heavy rain while en route.
06/01/2002,06:45,George South Africa,Airquarius Aviation - Charter,Bloemfontein - George,Hawker Siddeley HS-748-372,3,3,The private postal service plane crashed into the Outeniqua mountains near Outeniqua Pass after a missed approach to George Airport. The aircraft crashed as it circled for another landing attempting poor weather conditions. Former South African cricket captain Hansie Cronje 32 the only passenger aboard was killed along with the crew. Pilot error. The pilot broke with procedure when trying to land the small cargo plane and failed to heed warnings that the aircraft was too near the ground.
06/02/2002,,Near Ndalatando Angola,Military - Angolan Armed Forces,Luanda - demobilization camp,Mi-17,25,20,The helicopter crashed in poor weather while on its way to a remote town for the symbolisurrender of arms held by Unita rebels. Two top ranking generals were among those killed in the crash.
06/04/2002,,Oiapoque Amapa Brazil,Marco Zero Air Taxi,,Embraer 721C Sertanejo,5,5,The plane tookoff and encountered heavy clouds all along the route.  Wreckage was found 42 miles from Oiapoque in an Amazon forest. Poor weather conditions.
06/11/2002,09:20,Winnipeg Manitoba,Keystone Air Services Ltd. - Air Taxi,Winnipeg Manitoba,PA- 31-350 Chieftain,8,1,While on a second approach the pilot radioed a mayday saying that both his engines had failed.  The aircraft landed at an intersection striking a vehicle. Fuel starvation.
06/12/2002,21:24,Near Gardez Afghanistan,Military - U.S. Air Force,,Lockheed MC-130H Hercules,10,3,While participating in a night mission to remove U.S. Special Forces troops the plane crashed 2.5 miles from the airstrip. Overloaded. The excessive cargo weight loaded on the aircraft at the Band E Sardeh Dam landing zone.
07/01/2002,23:36,Uberlingen Germany,Bashkirian Airlines / DHL Worldwide Express,Moscow-Munich-Barcelona / Bahrain/Brussels,Tupolev TU-154M / Boeing B-757-23APF,71,71,The airliner and cargo plane collided over southern Germany at 35400 ft. Debris was spread across a 20 mile radius. Fifty-two children on a beach holiday were among the 69 aboard the Tupolev. The Tupolev pilot received contradictory instructions. The collision avoidance warning system (TCAS) told the pilot to ascend followed by an order from the Swiss air trafficontroller to descend one second later. The Russian plane did not immediately respond to the tower's order to descend so he repeated the command 14 seconds later. Thirty seconds later the two planes collided. The Tupolev's TCAS was telling the pilots to ascend. The Boeing's TCAS was telling the pilots to descend. The Swiss air trafficontroller was telling the Tupolev's pilots to descend. The air trafficontroller that guided the planes had no way of knowing the Russian pilot was receiving contradictory instruction from his cockpit TCAS unless told so by the pilot. Russian aviation officials said the pilot correctly gave precedence to the control tower but Western aviation experts said pilots are trained to give precedence to the cockpit warning. In addition the controller was left alone on duty while his partner went on a break and was preoccupied with another aircraft. This was accepted policy at Skyguide the Swiss air control company. In addition maintenance crews working on the computer system limited the controller's information he was receiving including conflict alert warnings. Sadly one-and-a-half years later the controller Peter Nielsen was stabbed to death by a Russian man who had lost his wife and two children in the accident.
07/04/2002,12:30,San Dimas California,Private,,Cessna 310,2,2,The aircraft lost power while taking off from Bracket Airport and crashed into picnickers on the shoreline of Puddingstone Lake in Bonelli Park. The plane was observed in a left bank traveling approximately 30 feet above and parallel to the shoreline before impacting two trees in a picniarea. Witnesses reported that they did not hear the engines running. The pilot made 3 consecutive mayday calls during the initial climb-out from runway 26L however the pilot did not indicate the nature of the emergency.  Two children on the ground were killed. Fifteen others were injured. The pilot's failure to maintain adequate airspeed which resulted in an inadvertent stall and subsequent collision with terrain. A contributing factor was the pilot's impairment from the effects of prescription painkilling drugs.
07/04/2002,11:15,Bangui Central African Republic,Prestige Airlines (Cargo) Charter,N'Djamena Chad - Brazzaville Congo,Boeing B-707-123B,27,25,The aircraft crashed 2 miles short of the runway into the Guitangola neighborhood of Bangui. The plane was bound for Brazzaville but diverted to Bangui because of mechanical problems. Two survived but succumbed to their injuries.
07/12/2002,11:45,Port Alsworth Alaska,Air Taxi - Bigfoot Air of Alaska LLC,Lake Hood AK - Iliamna AK,de Havilland DHC-2,4,4,The commercial pilot of the float-equipped airplane was transporting passengers to a lodge at a remote lake. When the airplane did not arrive at the lake a search was initiated and two days later the wreckage of the airplane was located on the side of a box canyon about the 2400 foot elevation level. The pilot's failure to maintain clearance from terrain while maneuvering inside a box/blind canyon resulting in an in-flight collision with terrain. A factor contributing to the accident was the box/blind canyon.
07/16/2002,,Near Long Barai Indonesia,Sabang Merauke Raya Air Charter,Tarakan - Krayan,Britten-Norman BN-2A Islander,10,10,Air trafficontrol lost contact with the aircraft 15 minutes before it was scheduled to land. The wreckage was found atop a 5300 ft. mountain surrounded by thick jungle 5 miles from its destination.
07/16/2002,19:45,Off Cromer Norfork England,Bristow Helicopters,Gas platform Clipper - drilling rig Golbal Sante Fe Monach,Sikorsky S-76A,11,11,The helicopter was ferrying workers from a gas rig to a oil platform in the North Sea when it crashed into the water at high speed 28 miles northeast of Cromer. The helicopter was at a height of 320 ft. flying in a south-easterly heading when one of the rotor blades failed.  The accident was caused by a broken rotor blade caused by fatigue brought about by a lightning strike three years earlier.
07/17/2002,14:22,Surkhet Nepal,Skyline Airways,Jumla - Surkhet,de Havilland Canada DHC-6 Twin Otter 300,4,4,The aircraft hit a tree and crashed into a hill 6 miles north of Surkhet in poor weather conditions. Wreckage was strewn over a wide area.
07/27/2002,12:45,Lviv Ukraine,Military - Ukraine Air Force,,Sukhoi Su-27,2,0,The Su-76 was performing aerobatics when it crashed into crowd of spectators at an air show at Skniliv Airport in the Ukraine. The aircraft had just performed a steep turn when it appeared to tumble and enter a steep dive from which it failed to recover. The two pilots parachuted to safety.  Pilot error. The pilots ignored their flight plans and performed untried and complicated maneuvers which led to a loss of control. Both received a jail sentence of 14 years.
07/28/2002,15:25,Moscow Russia,Pulkovo Aviation Enterprise,Moscow - St. Petersburgh,Iluyshin Il-86,16,14,A Russian passenger airliner on a training flight crashed shortly after takeoff from Moscow's Sheremetyevo Airport. After reaching an altitude of about 600 ft. the plane banked hard left hit the ground and exploded. Sixteen of 18 crewmembers aboard were killed. Two flight attendants survived. Investigation revealed that the stabilizer spontaneously shifted to the full down position two seconds after takeoff. Six seconds after the shift the captain tried to compensate by thrusting the control stick forward as far as possible but was unable to regain control of the aircraft.
08/07/2002,22:00,Caguas Puerto Rico,Military - U.S. Air Force,Roosevelt Roads NS - Borinquen NGB,Lockheed MC-130H Hercules,10,10,The military plane crashed into a mountain top approximately 10 miles south of San Juan Puerto Rico in rough terrain while performing low-level training exercises. Witnesses reported the aircraft was flying low and hit some trees before crashing into a ravine bursting into flames and disintegrating. There was rain and fog at the time of the accident.
08/15/2002,12:35,Kadjuduwa Watta Sri Lanka,Military - Sri Lanka Air Force,,Yunshuji Y-8D,5,5,The military plane developed engine trouble while en route tried to return to the airport but crashed into a paddy field and was destroyed.
08/19/2002,,Khankala Chechnya,Military - Russian Air Force,,Mil Mi-26,147,121,The Russian transport helicopter carrying troops crashed at Russian military headquarter near the capital city of Grozny. Reporting an engine fire the pilot attempted to make an emergency landing when the helicopter fell from a height of 660 feet and missed the tarmaby 990 feet crashed and caught fire.  The helicopter was shot down by Chechen guerillas with a shoulder-launched heat-seeking anti-aircraft missile. The missile destroyed the helicopter's right engine and starting a fire on board. The left engine stopped at the same time. The entire hydraulicontrol system including the system used to open the rear door was not working as burning fuel gushed into the cabin trapping people inside. This is the worst helicopter disaster in aviation history.
08/22/2002,09:41,Pokhara Nepal,Shangri La Air,Jomsom - Pokhara,de Havilland Canada DHC-6-300 Twin Otter,18,18,The plane crashed into a hill 3 miles southeast of Pokhara Airport while on approach. The plane broke into several pieces and bodies and wreckage was scattered over a small area. There was poor weather in the area at the time of the accident.
08/29/2002,11:58,Near Ayan Russia,Vostok Aviakompania,Khabarovsk - Ayan,Antonov AN-28,16,16,The twin prop plane crashed into a cliff in dense fog as it prepared to land at Ayan. ATC lost contact with the aircraft 12 minutes before it was scheduled to land.  The crew made four attempts to land before disappearing off radar.
08/30/2002,13:08,Lexington Kentucky,Care Flight International,Marco Fl - Lexington KY,Learjet 25C,5,1,While attempting to land the air ambulance the thrust reverser deployed lights did not illuminate so the captain stowed the thrust reverse levers and activated them again with the same result. The captain then released and reapplied the brakes with no effect. The airplane then overran the runway and the right wing struck the ILS antennas and lighting. The plane came to rest and burst into flames. The captain's addition of forward thrust during the landing rollout which resulted in a lack of braking effectiveness and a subsequent runway overrun. A factor was the captain's inability to deploy the thrust reversers for undetermined reasons.
08/30/2002,18:30,Rio Branco Brazil,Rico Taxi Aéreo,Cruzeiro do Sul - Tarauaca - Rio Branco,Embraer 120ER Brasilia,31,23,The plane crashed about 1 mile short of the runway in heavy rain and strong winds while attempting to land at Rio Branco Airport. Congressman Ildefonso Cordeiro was among the victims.
09/02/2002,,Near Xichang China,CAAC Air TraffiManagement Bureau,Survey,Cessna 650 Citation VI,3,3,The survey flight to check out the ILS on Runway 36 the plane circled for another approach and collided with a slope of a mountain at an altitude off 2500 meters which was shrouded in clouds.
09/04/2002,09:00,High Prarie Alberta Canada,Airco Charters - Air Taxi,Edmond Alberta - High Prarie Alberta,PA-34-220T Seneca III,2,2,Crashed into a densly wooded area 7nm from its destination. For undetermined reasons the aircraft descended below the minimum safe altitude as prescribed on the NDB 25 approach for High Prairie and struck the terrain.
09/13/2002,13:41,Pucallpa Peru,Aero Pantanal - Air Taxi,,Cessna U206G,6,6,Shortly after taking off the pilot radioed a distress call saying he was losing altitude and was returning to the airport. Shortly thereafter the plane crashed in a wooded area.
09/14/2002,,Paranapanema Sao Paulo Brazil,Total  Air Lines,Guarulhos - Londrina,ATR 42-300,2,2,One hour after the takeoff  the the plane  disappeared of  Curitiba  ATC. The wreckage was found on a farm around a crater. Unknown cause.
09/28/2002,11:35,Near Natashquan Quebec Canada,Deraps Aviation,Lake de l'Avion - Agunish River,de Havilland Canada DHC-3 Otter,4,3,The hunting charter crashed inverted in a forest while attempting to land at Agunish River. Because of the geographiand weather conditions the pilot probably had trouble judging his horizontal and vertical distance with respect to the mountain and the aircraft crashed.
10/01/2002,,Vasco India,Military - Indian Navy,Military exercises,Ilyushin IL-38 / Ilyushin IL-38,12,12,The two Navy aircraft flying in formation in a military flyby crashed after their wings collided. One plane crashed into a house under construction while the other crashed onto a field next to a highway. Six crew members on each plane were killed along with 5 on the ground.
10/07/2002,09:10,Santa Cruz do Sul Brazil,American Virginia,,Learjet 60,5,1,The crew was not able to stop the plane on the rain-slick runway overran the runway and collided with an obstacle.
10/23/2002,19:45,Spanish Fort Alabama,Mid-AtlantiFreight,Mobile - Mongomery,Cessna 208B Cargomaster I,1,1,While en route the pilot of the cargo plane radioed was in an uncontrolled descent. The plane impacted the water in Big Bateau Bay. The pilot's spatial disorientation which resulted in loss of airplane control. Contributing to the accident was the night instrument meteorological conditions with variable cloud layers
10/25/2002,10:22,Eveleth Minnesota,Aviation Charter - Air Taxi,St. Paul - Eveleth,Beechcraft King Air A100,8,8,The private charter flight crashed and burned in a wooded area 2 miles from Eveleth-Virginia Municipal Airport where it was scheduled to land. Weather was visibility 2 miles in freezing rain. Light snow and light fog. Minnesota Senator Paul Wellstone 58 killed along with his wife daughter three staff members and a crew of two. During the later stages of the approach the flight crew failed to monitor the airplane's airspeed and allowed it to decrease to a dangerously low level and to remain below the recommended approach airspeed for about 50 seconds. The flight crew failed to recognize that a stall was imminent and allowed the airplane to enter a stall from which they did not recover. The  inadequate  airspeed  or  the  full  course deviation indicator needle deflection should have prompted the flight crew to execute a go-around; however they failed to do so.
11/06/2002,10:10,Near Niederanven Luxembourg,Luxair,Berlin Germany - Luxembourg,Fokker 50,22,20,The plane crashed 6 miles short of the runway at Findel Airport while attempting to land in heavy fog.  Indications are that the aircraft lost all power in both engines before crashing and catching fire.
11/07/2002,10:27,Tarakan Indonesia,Dirgantara Air Services,Tarakan - Long Bawan,Britten-Norman BN-2A-21,10,7,Two minutes after taking off the aircraft went down in a swamp about 1 mile from Juwata airport. The pilot radioed he was returning to the airport because of an engine failure.
11/08/2002,14:58,Taos New Mexico,Richmor Aviation,Las Vegas NV - Taos NM,IAI 1124A Westwind,2,2,While on a positioning flight the plane entered an uncontrolled descent and crashed. The pilot's inadvertent flight into mountain wave weather conditions while IMC resulting in a loss of aircraft control.
11/11/2002,06:09,Manila Philippines,Laoag International Airlines,Manila - Laoag,Fokker F27 Friendship 100,34,19,The plane experienced failure of the left engine shortly after taking off from Ninoy Aquino airport. The pilot declared and emergency and the aircraft ditched into Manila Bay and breaking up about one-half mile offshore. Fuel starvation. Failure of the pilot and co-pilot to check the fuel valve and failure to observe safety standards and measures.  Poor management and maintenance procedures.
11/28/2002,14:15,Masai Mara Game Reserve Kenya,Eagle Aviation,Ol Kiombo - Mombasa,Let 410UVP-E20,20,1,The plane crashed after developing engine trouble while flying from one airstrip to another in the Masai Mara National Reserve. The copilot was the only fatality.
12/09/2002,11:41,Mena Arkansas,Raytheon Aircraft,Wichita KS - Mena AR,Beechcraft 1900C,3,3,Crashed into a mountain while attempting to land. In-flight collision with terrain due to the pilot's failure to maintain clearance and altitude above rapidly rising terrain while on a VFR approach. Contributing factors were the obscuration of the terrain due to clouds.
12/13/2002,,Gohu Airstrip Papua New Guinea,Island Airways Ltd.,Gohu - Madang,Britten-Norman BN-2A-26 Islander,8,8,The aircraft flew into the side of a cliff during it's inaugural flight from Gohu Airstrip in the Finisterre Mountains.
11/15/2003,18:30,Mosul Iraq,Military - U.S. Army,,UH-60 Black Hawk / UH-60 Black Hawk,22,17,A midair collision occurred between two Black Hawk helicopters. One helicopter was climbing to avoid gunfire when it's rotor struck the other.
12/17/2002,22:51,Rockford Illinois,Planemasters,Decatur - Rockford,Cessna 208B Caravan I Super Cargomaster,1,1,While attempting to land the cargo plane struck trees and crashed into a field. The pilot's failure to maintain control of the airplane during the ILS approach. Factors associated with the accident were the low ceilings high winds crosswind and wind shear conditions that existed.
12/21/2002,01:52,Off Pachao Tao Taiwan,Transasia Airways,Taipei - Macau,Aérospatiale/Aeritalia ATR-72-202,2,2,While en route the stall warning sounded the crew of the cargo plane disconnected the autopilot and the plane began to descend until it impacted the ocean.
12/23/2002,19:30,Near Isfanan Iran,Aeromist-Kharkiv,Kharkiv Ukraine - Trabzon Turkey - Isfanan Iran,Antonov AN-140,44,44,The Ukrainian passenger plane  crashed in a mountainous area  70 km from Isfanan after losing contact with ground controllers as it prepared to land. Improper use of the Global Positioning System by the pilot.
12/25/2002,01:00,Off Manteo North Carolina,Telford Aviation,Elizabeth City - Manteo,Cessna 208B Caravan I,1,1,On a positioning flight while on approach the plane crashed into Croatan Sound. The pilot's continued descent below the minimum descent altitude for undetermined reasons while performing a NDB approach resulting in the airplane crashing into water 1.5 miles from the airport. A factor in the accident was a cloud ceiling below the minimum descent altitude and low visibility.
12/26/2002,11:20,Curitiba Brazil,Military - Brazilian Air Force,Sao Paulo - Porto Alegre,Embraer-110 C-95B Bandeirante,16,3,The plane diverted from it's original route to make an emergency landing at Curitiba after experiencing engine trouble and crashed 3.5km short of the runway.
12/27/2002,15:00,Anjouan Comoros Islands,Ocean Airlines,Moroni Hahaya - Anjouan,Let 410UVP,16,1,Crashed in mountains while on approach in inclement weather.
01/08/2003,20:28,Diyarbakir Turkey,Turkish Airlines (THY),Istanbul - Ankara - Diyarbakir,BAe Avro RJ-100,80,75,The aircraft crashed and broke-up 130 feet short of the runway threshold while attempting to land in heavy fog.  Visibility was less than 200 feet.
01/08/2003,08:53,Charlotte North Carolina,US Air Express/Air Midwest,Charlotte NC - Greer SC,Beech BE-1900D,21,21,The commuter plane was not able to maintain altitude after taking off from Charlotte-Douglas International Airport and crashed into the side of a hanger and burst into flames. The weather was clear cold and windy with greater than 10 miles visibility at the time of the accident. The airplane's loss of pitch control during takeoff was the result of incorrect rigging of the elevator control system compounded by the airplane's center of gravity which was substantially aft of the certified aft limit. Contributing to the cause of the accident was: (1) Air Midwest's lack of oversight of the work being performed at the Huntington West Virginia maintenance station (2) Air Midwest's maintenance procedures and documentation (3) Air Midwest's weight and balance program at the time of the accident (4) the Raytheon Aerospace quality assurance inspector's failure to detect the incorrect rigging of the elevator system (5) the FAA's average weight assumptions in its weight and balance program guidance at the time of the accident and (6) the FAA's lack of oversight of Air Midwest's maintenance program and its weight and balance program.
01/09/2003,08:43,Near Chachapoyas Peru,TANS Airlines,Chiclayo - Chachapoyas,Fokker 28 Fellowship 1000,46,46,The aircraft crashed into 11500 ft. Coloque mountain at an altitude of 7550 ft. about 30 minutes after leaving Chiclayo and three minutes from landing at Chachapoyas. Controlled flight into terrain. Crew did not follow standard procedures. Lack of communication between the crew.
01/17/2003,,Near Ndjolé Gabon,Aerocom,Brazzaville - Douala,Antonov 24B,7,7,On a positioning flight the plane over Gabon had problems with its navigation equipment circled the airport 4 times before crashing into a wooded hillside.
01/24/2003,16:45,Busia Kenya,African Commuter Services,Busia - Nairobi,Grumman G-159 Gulfstream I,13,3,The plane failed to gain altitude during takeoff hit power lines and crashed inverted into a house. Kenyan Labor Minister Ahmed Khalif and the two pilots were killed. The plane was grossly overloaded. The plane which weighed 16 tons was taking off from an airstrip designed for aircraft weighing less than 5.7 tons.
01/31/2003,15:21,Baucau East Timor,Euro Asia Aviation,Macau - Baucau,Ilyushin II-76TD,6,6,The cargo plane struck ground 2 km short of the runway in heavy fog. The flight crew did not comply with the published non-precision instrument approach. The flight crew conducted user-defined non-precision instrument approaches to Runway 14 at Baucau during flight in instrument meteorological conditions. The pilot in command permitted the aircraft to descend below the MDA.
02/07/2003,,Near Agadir Morocco,Volare Aviation Enterprise,Agadir - Algiers,Antonov 12BP,8,8,Crashed in the Atlas mountain range at 9900 feet while en route.
02/10/2003,19:42,Tallinn Estonia,Enimex,Tallinn - Helsinki,Antonov AN-28,3,2,Shortly after takeoff the aircraft stalled crashed and burst into flames in a wooded area. Engine failure.
02/16/2003,20:02,Ferguson Kentucky,Air Taxi - Great Northern Aircraft Co.,Griffith-Merrill IN - Somerset KY,Cessna 421,7,3,The aircraft was destroyed during a collision with trees and terrain in Ferguson Kentucky while on an instrument approach to Somerset-Pulaski County Airport. The pilot's failure to follow the instrument approach procedure which resulted in an early descent into trees and terrain. Factors included the low ceiling and the night lighting conditions.
02/19/2003,17:30,Near Shahdad Iran,Military - IslamiRevolution's Guards Corps,Zahedan - Kerman,Ilyushin Il-76MD,275,275,The plane crashed into an 11500 ft.  mountain in poor weather about 20 miles from its destination of Kerman. Besides the 18 crew members the victims included Iran's Revolutionary Guard.
02/20/2003,08:52,Near Kohat Pakistan,Military - Pakistan Air Force,Islamabad - Kohat,Fokker F-27 Friendship 200,17,17,The plane crashed into a mountainside in a remote region near the town of Kohat about 250 kilometers northwest of Islamabad. Among those killed was Air Force chief Mushaf Ali Mir.  Pilot error. Pilot's premature descent below minima which resulted in the aircraft hitting a cloud covered ridge at 3000 feet above sea level.
03/01/2003,14:25,Near Barki Russia,Private - Kabanov - skydiving,Skydiving,Let L-410UVP,25,11,While carrying a group of parachute jumpers the aircraft began to disintegrate in mid-air while flying at an altitude of about 10000 ft. The tail and left wing separated from the plane before it crashed into an area of deep snow. Many of the skydivers were able to jump out of the plane to safely before it crashed.
03/06/2003,15:45,Tamanrasset Algeria,Air Algerie,Tamanrasset - Algiers,Boeing B-737-2T4,103,102,The starboard engine caught fire and failed while the plane was attempting to take off. The aircraft continued about 2000 ft. past the end of the runway and crashed. The accident was caused by the loss of an engine during a critical phase of flight the non-retraction of the landing gear after the engine failure and the Captain the pilot not flying taking over control of the airplane before having clearly identified the problem.
03/27/2003,12:30,Mulia Indonesia,PT Air Regional,Mulia - Wamena,de Havilland Canada DHC-6 Twin Otter,16,4,Crashed into a 7000 ft. mountain three minutes after after taking off.
03/28/2003,15:49,New Vienna Iowa,Morris Hancock Flying Club - Charter,Aurora IL - Morris MN,Beech A36,3,3,The aircraft owned by a flying club as a rental airplane was destroyed following an uncontrolled descent into terrain about 2 miles west of New Vienna Iowa. The improper planning/decision by the pilot to fly into forecast icing  conditions with an airplane not equipped with a certified deicing system. Also casual to the accident was the continued flight in known icing conditions and the pilot not performing flight to an alternate destination. A contributing factor was the pilot's lack of qualification as an air carrier.
05/08/2003,,Near Kinshasa Congo,Ukrainian Cargo Airlines -  Congolese Army Charter,Kinshasa - Lubumbashi,Illyushin 76,200,129,A large number of military personnel and their family members were sucked out of the plane after the aircraft's back ramp accidentally dropped open in flight. The ramp opened as the pressure system broke down. The crew managed to control the plane and turn it around and land at Kinshasa airport following the accident which took place 45 minutes into the flight. There is a wide discrepancy in the number killed ranging from 0 to 250.
05/26/2003,04:45,Near Macka Turkey,Ukranian-Mediterranean Airlines,Kabul Afghanistan - Trabzon Turkey - Zaragoza Spain,Yakovlev 42D,75,75,The plane struck the side of a steep mountain in heavy fog on its third attempt to land at Trabzon to refuel. The pilot reported not being able to see the runway on the first two attempts.  The aircraft charter was carrying Spanish peacekeeping forces back to Zaragoza.
05/28/2003,13:30,Talkeetna Alaska,McKinley Air Service - Air Taxi,,Cessna 185,4,4,The airplane was destroyed during a collision with snow-covered glacial terrain following a loss of control during cruise flight about 40 miles north-northwest of Talkeetna Alaska. The airplane was being operated as a visual flight rules. The pilot's failure to maintain adequate airspeed which resulted in an inadvertent stall an uncontrolled descent and in-flight collision with terrain. A factor associated with the accident was rising terrain
06/01/2003,15:26,Milan Italy,Eurojet Italila,Milan - Genoa - Farnborough,Gates Learjet 45,2,2,Shortly after taking off the jet nosed into the ground. Malfunction of the trim tab system.
06/04/2003,,Near Oiapoque  Brazil,Air Taxi - Marco Zero Air Taxi,Oiapoque - Macapa,EMB 721C Sertanejo,5,5,Forty miles into it flight the aircraft crashed into the Amazon forest. The aircraft was not certified for IFR flight. Heavy cloud cover existed along the flight route.
06/06/2003,19:15,Christchurch New Zealand,Charter - Air Adventures New Zealand Ltd,Palmerston North - Christchurch,Piper PA-31-350 Navajo Chieftain,10,8,The aircraft crashed short of the runway in fog while on approach to Christchurch Airport. The plane crashed two kilometers from the airport hitting a farm hedge and sliding across a paddock before smashing into a row of trees.
06/11/2003,,Belo Horizonte Brazil,Astro Air Taxi,,Embraer 820C Navajo,4,4,After takeoff the pilot reported low pressure of oil  in an engine and  decided to return to the airport. The plane made a 270 degree turn in the final approach stalled  and crashed to the ground.
06/15/2003,09:35,Volcano Hawaii,Paradise Tour Helicopters,Sightseeing,McDonnell Douglas 369D,4,4,The helicopter impacted a lava field on the Pulama Pali in the Volcanoes National Park Volcano Hawaii.  A loss of engine power due to the fatigue fracture and separation of the compressor coupling adapter. The fatigue fracture was initiated by fretting on the pilot diameter due to both the inadequate design of the coupling and the coaxial misalignment of the spur adapter gear compressor-coupling adapter and compressor impeller during recent engine maintenance where the gearbox was removed and replaced. A factor in the accident was the unsuitable nature of the terrain to make an emergency landing.
